[CLS] fa||url||taskid 2019352994  dealloc
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] ccioreporterformatter::addregistrychildtochanneldictionary streams 7
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] ccfile::capturelogrun exiting ccfile::capturelogrun
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] en0::io80211interface::postmessage bssid changed
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] button report: 0x8002be0
[CLS] en0::io80211interface::postmessage bssid changed
[CLS] en0::io80211interface::postmessage bssid changed
[CLS] button report: 0x8002bdf
[CLS] button report: 0x8002bdf
[CLS] fa||url||taskid 2019353117  dealloc
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] asl sender statistics
[CLS] fa||url||taskid 2019353182  dealloc
[CLS] keychaingeticdpstatus: keychain: -25300
[CLS] keychaingeticdpstatus: keychain: -25300
[CLS] keychaingeticdpstatus: keychain: -25300
[CLS] asl sender statistics
[CLS] received capture event
[CLS] ccfile::capturelogrun exiting ccfile::capturelogrun
[CLS] asl sender statistics
[CLS] wake reason: ?
[CLS] button report: 0x80039b7
[CLS] button report: 0x80039b7
[CLS] fa||url||taskid 2019353296  dealloc
[CLS] fa||url||taskid 2019353306  dealloc
[CLS] received capture event
[CLS] ccfile::capturelogrun exiting ccfile::capturelogrun
[CLS] ccfile::capturelogrun exiting ccfile::capturelogrun
[CLS] ccioreporterformatter::addregistrychildtochanneldictionary streams 7
[CLS] ccfile::capturelogrun exiting ccfile::capturelogrun
[CLS] arpt: 682834.192587: wlc_dump_aggfifo:
[CLS] wake reason: ?
[CLS] arpt: 682977.654133: wlc_dump_aggfifo:
[CLS] received capture event
[CLS] ccfile::capturelogrun exiting ccfile::capturelogrun
[CLS] button report: 0x8002bdf
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
[CLS] button report: 0x80039b7
[CLS] io80211awdlpeermanager::setawdlautomode resuming awdl
