[CLS] arpt: 620750.434035: wl0: wl_update_tcpkeep_seq: original seq: 3226706533  ack: 3871687177  win size: 4096
[CLS]  09:21:58.929  <<<< crabs >>>> crabsflumehostavailable:  0x7f961cf08cf0  byte flume reports host available again.
[CLS] arpt: 621146.080894: wl0: wl_update_tcpkeep_seq: original seq: 3014995849  ack: 2590995288  win size: 4096
[CLS] - uabestappsuggestionmanager notifybestappchanged:type:options:bundleidentifier:activitytype:dynamicidentifier:when:confidence:devicename:deviceidentifier:devicetype:   uasuggestedactiontype=0 / opts= when=2017-07-01 17:08:20 +0000 confidence=1 from=/ 
[CLS] __42- netclientconnection evaluatecrazyivan46 _block_invoke ci46 - hit by torpedo! qq.10018 tc19060 125.39.133.143:14000
[CLS] network: requery  0  0  0  0  250  items  fqueryretries  0  flastretrytimestamp  520665636.6
[CLS] arpt: 640362.070027: wl0: wl_update_tcpkeep_seq: original seq: 2000710617  ack: 2120985509  win size: 4096
[CLS] network: requery  0  0  0  0  250  items  fqueryretries  0  flastretrytimestamp  520708962.7
[CLS] - uabestappsuggestionmanager notifybestappchanged:type:options:bundleidentifier:activitytype:dynamicidentifier:when:confidence:devicename:deviceidentifier:devicetype:   uasuggestedactiontype=0 / opts= when=2017-07-03 03:01:48 +0000 confidence=1 from=/ 
[CLS] - uabestappsuggestionmanager notifybestappchanged:type:options:bundleidentifier:activitytype:dynamicidentifier:when:confidence:devicename:deviceidentifier:devicetype:   uasuggestedactiontype=0 / opts= when=2017-07-03 03:22:06 +0000 confidence=1 from=/ 
[CLS] 2017-07-02 20:50:47.457 ksfetch 32776/0x7fff79824000   lvl=2  kshelperreceivealldata kshelpertool read 1926 bytes from stdin.
[CLS] - uabestappsuggestionmanager notifybestappchanged:type:options:bundleidentifier:activitytype:dynamicidentifier:when:confidence:devicename:deviceidentifier:devicetype:   uasuggestedactiontype=0 / opts= when=2017-07-03 09:32:01 +0000 confidence=1 from=/ 
[CLS] network: requery  0  0  0  0  252  items  fqueryretries  0  flastretrytimestamp  520765684.9
[CLS] arpt: 672663.206073: wl0: wl_update_tcpkeep_seq: original seq: 2185760336  ack: 2085655440  win size: 4096
[CLS] network: requery  0  0  0  0  252  items  fqueryretries  0  flastretrytimestamp  520783088.4
[CLS] 2017-07-03 10:40:42.940 googlesoftwareupdateagent 33263/0x700000323000   lvl=2  - ksomahaserver updateinfosforupdateresponse:updaterequest:infostore:uptodatetickets:updatedtickets:events:errors:  response passed cup validation.
