[CLS]  bluetoothhiddevicecontroller  eventservicedisconnectedcallback
[CLS] ############################## _getsysmsglist
[CLS] hibernate_machine_init reading
[CLS] buildactdeviceentry exit
[CLS]  bluetoothhiddevicecontroller  eventserviceconnectedcallback
[CLS] buildactdeviceentry enter
[CLS] ############################## _getsysmsglist
[CLS] ############################## _getsysmsglist
[CLS] ############################## _getsysmsglist
[CLS] ############################## _getsysmsglist
[CLS] buildactdeviceentry exit
[CLS] ccprofilemonitor::freeresources done
[CLS] appleactuatordevice::stop entered
[CLS] appleactuatordevice::start entered
[CLS]  bluetoothhiddevicecontroller  eventserviceconnectedcallback
[CLS] appleactuatorhideventdriver: stop
[CLS] appleactuatordeviceuserclient::start entered
[CLS] buildactdeviceentry enter
[CLS] hibernate_page_list_setall start
[CLS] appleactuatordeviceuserclient::stop entered
[CLS] appleactuatorhideventdriver: stop
[CLS] hibernate_rebuild started
[CLS] ############################## _getsysmsglist
[CLS] ############################## _getsysmsglist
[CLS]  20cb04f 1.000086
[CLS] ############################## _getsysmsglist
[CLS] ############################## _getsysmsglist
[CLS] ############################## _getsysmsglist
[CLS] hibernate_machine_init reading
